gfsCode,revStreamName,agencyName,companyName,year,payment,paymentUSD
1422E,1.2.4 Payment for recruiting foreign experts and workers (State Budget),Ministry of Labour,Asiagold Mongolia,2012,0,0
1422E,2.2.4 Payment for recruiting foreign experts and workers (Local Budget),Local Department of Taxation,Asiagold Mongolia,2012,0,0
143E,1.6.1 Penalty (to state),"General Tax Office, Specialised Inspection Organistaion & State Social Insurance office",Asiagold Mongolia,2012,1e6,740.7791515115598
143E,1.6.2 Compensation (to State Budget),"General Tax Office, Specialised Inspection Organistaion & State Social Insurance office",Asiagold Mongolia,2012,0,0
143E,2.5.1 Penalty (to Local budget),Local Department of Taxation,Asiagold Mongolia,2012,0,0
143E,2.5.2 Compensation (to Local Budget),Local Department of Taxation,Asiagold Mongolia,2012,0,0
144E1,3. Donationa and assistance paid to state entities,Ministries and Agencies,Asiagold Mongolia,2012,35e6,25927.270302904595
1112E1,1.1.1 Corporate income tax,General Department of Taxation,Altain khuder,2012,111963e3,82939.85614068877
1112E2,1.6.3 Windfall tax,"Mineral Resources Authority, Petroleum Authority",Altain khuder,2012,0,0
113E,2.1.1 Real estate tax,Local Department of Taxation,Altain khuder,2012,22451e3,16631.23273058603
113E,2.2.1 Land fee,Local Department of Taxation,Altain khuder,2012,1891e4,14008.133755083596
1141E,1.1.3 VAT - Value Added Tax,General Department of Taxation,Altain khuder,2012,4191471e3,3104954.330965309
1141E,1.1.5 Tax on vehicle's gasoline and diesel fuel,Customs Office,Altain khuder,2012,0,0
1142E,1.1.4 Excise tax on vehicle's gasoline and diesel fuel,Customs Office,Altain khuder,2012,0,0
114521E,2.2.2 Fee for water use,Local Department of Taxation,Altain khuder,2012,1251e4,9267.147185409613
114521E,2.2.3 Fee for use of wide spread mineral resources,Local Department of Taxation,Altain khuder,2012,26474e3,19611.387257117036
114521E,Fee for forestry use and fire wood,Not available,Altain khuder,2012,0,0
114522E,1.2.11 Fee for air pollution (for only coal extracting companies),General Department of Taxation,Altain khuder,2012,0,0
114522E,2.5.3 Contribution (deposit) at rate of 50% to Environmental protection special account,"Ministry of Environment, Green development and Tourism",Altain khuder,2012,35e5,2592.7270302904594
11451E,2.1.2 Tax on vehicles and self-moving mechanisms,Local Department of Taxation,Altain khuder,2012,11275e4,83522.84933292837
1151E,1.1.2 Customs tax,Customs Office,Altain khuder,2012,1995495e3,1478221.09294556
116E,1.6.4 Other (State Budget),Other,Altain khuder,2012,0,0
116E,2.5.4 Other (Local Budget),Other,Altain khuder,2012,13883e3,10284.236960434984
1212E,1.2.12 Social and health insurance charges paid from entity,General Department of Social Insurance,Altain khuder,2012,4065225e3,3011433.9262035806
1412E2,1.4.1 Dividends on State Property,Ministry of Finance,Altain khuder,2012,0,0
1412E2,2.4.1 Dividends on Local Property,Ministry of Finance,Altain khuder,2012,0,0
1415E1,1.2.1 Fee and extra charges for exploitation of mineral resources,General Department of Taxation,Altain khuder,2012,10153088e3,7521195.9138621995
1415E1,"1.5.4 Royalty 
(otherwise part of 1.5.3 Petroleum income according to Product sharing agreement)",Ministry of Finance,Altain khuder,2012,0,0
1415E2,1.2.5 Bonus after signing Product Sharing Agreement,Not available,Altain khuder,2012,0,0
1415E2,1.2.7 Bonus for training,Not available,Altain khuder,2012,0,0
1415E31,1.5.1 Advance payments to Government,Ministry of Finance,Altain khuder,2012,0,0
1415E31,1.5.3 Petroleum income according to Product sharing agreement,Ministry of Finance,Altain khuder,2012,0,0
1415E31,2.2.5 Support activities from oil companies to local budget (according to agreement),Petroleum Authority,Altain khuder,2012,0,0
1415E31,"1.2.3 Payment for deposit, exploration carried out by Government",Mineral Resources Authority,Altain khuder,2012,0,0
1415E31,1.2.8 Field deposit according to pledge area under the Production Sharing Agreement,Mineral Resources Authority,Altain khuder,2012,0,0
1421E,1.2.9 Administration and service charges in accordance with Production Sharing Agreement,Petroleum Authority,Altain khuder,2012,0,0
1421E,1.2.10 Fee for supporting field office in according to Production Sharing Agreement,Not available,Altain khuder,2012,0,0
1421E,Service charges paid to local administration,Not available,Altain khuder,2012,0,0
1421E,Service fees paid to state central administration and ministries,Not available,Altain khuder,2012,11800862,8741.83253946501
1421E,Service fee for foreign experts and workers,Not available,Altain khuder,2012,0,0
1422E,1.2.2License fee for exploitation and exploration of mineral resources,Mineral Resources Authority,Altain khuder,2012,27682e3,20506.248472142997
1422E,1.3.1 Customs service fee,Customs Office,Altain khuder,2012,157773e4,1168749.4907143333
1422E,"Stamp fee for licensing possess, utilization, sale, montage, place, rent, produce, decommission, demontage, store, transport, import, export of nuclear generator, dump treatment, deactivate and other related activities, and revenues.",Not available,Altain khuder,2012,0,0
1422E,Stamp fee paid to local budget,Not available,Altain khuder,2012,99e4,733.3713599964442
1422E,Stamp fees paid to state central administration and ministries,Not available,Altain khuder,2012,99e4,733.3713599964442
1422E,1.2.4 Payment for recruiting foreign experts and workers (State Budget),Ministry of Labour,Altain khuder,2012,41558e3,30785.299978517403
1422E,2.2.4 Payment for recruiting foreign experts and workers (Local Budget),Local Department of Taxation,Altain khuder,2012,0,0
143E,1.6.1 Penalty (to state),"General Tax Office, Specialised Inspection Organistaion & State Social Insurance office",Altain khuder,2012,702e3,520.026964361115
143E,1.6.2 Compensation (to State Budget),"General Tax Office, Specialised Inspection Organistaion & State Social Insurance office",Altain khuder,2012,0,0
143E,2.5.1 Penalty (to Local budget),Local Department of Taxation,Altain khuder,2012,52681e3,39024.986480780484
143E,2.5.2 Compensation (to Local Budget),Local Department of Taxation,Altain khuder,2012,0,0
144E1,3. Donationa and assistance paid to state entities,Ministries and Agencies,Altain khuder,2012,0,0
1112E1,1.1.1 Corporate income tax,General Department of Taxation,Golden East Mongolia,2012,53e7,392612.9503011267
1112E2,1.6.3 Windfall tax,"Mineral Resources Authority, Petroleum Authority",Golden East Mongolia,2012,0,0
113E,2.1.1 Real estate tax,Local Department of Taxation,Golden East Mongolia,2012,11386e3,8434.51141911062
113E,2.2.1 Land fee,Local Department of Taxation,Golden East Mongolia,2012,217785e3,161330.58751194505
1141E,1.1.3 VAT - Value Added Tax,General Department of Taxation,Golden East Mongolia,2012,160041e3,118555.03618706155
1141E,1.1.5 Tax on vehicle's gasoline and diesel fuel,Customs Office,Golden East Mongolia,2012,887e3,657.0711073907536
1142E,1.1.4 Excise tax on vehicle's gasoline and diesel fuel,Customs Office,Golden East Mongolia,2012,0,0
114521E,2.2.2 Fee for water use,Local Department of Taxation,Golden East Mongolia,2012,8615e4,63818.12390272088
114521E,2.2.3 Fee for use of wide spread mineral resources,Local Department of Taxation,Golden East Mongolia,2012,0,0
114521E,Fee for forestry use and fire wood,Not available,Golden East Mongolia,2012,0,0
114522E,1.2.11 Fee for air pollution (for only coal extracting companies),General Department of Taxation,Golden East Mongolia,2012,0,0
114522E,2.5.3 Contribution (deposit) at rate of 50% to Environmental protection special account,"Ministry of Environment, Green development and Tourism",Golden East Mongolia,2012,29891e3,22142.629617832034
11451E,2.1.2 Tax on vehicles and self-moving mechanisms,Local Department of Taxation,Golden East Mongolia,2012,7689e3,5695.850895972383
1151E,1.1.2 Customs tax,Customs Office,Golden East Mongolia,2012,0,0
116E,1.6.4 Other (State Budget),Other,Golden East Mongolia,2012,0,0
116E,2.5.4 Other (Local Budget),Other,Golden East Mongolia,2012,0,0
1212E,1.2.12 Social and health insurance charges paid from entity,General Department of Social Insurance,Golden East Mongolia,2012,83109e4,615654.1450297423
1412E2,1.4.1 Dividends on State Property,Ministry of Finance,Golden East Mongolia,2012,0,0
1412E2,2.4.1 Dividends on Local Property,Ministry of Finance,Golden East Mongolia,2012,0,0
1415E1,1.2.1 Fee and extra charges for exploitation of mineral resources,General Department of Taxation,Golden East Mongolia,2012,2779989e3,2059357.8926314698
1415E1,"1.5.4 Royalty 
(otherwise part of 1.5.3 Petroleum income according to Product sharing agreement)",Ministry of Finance,Golden East Mongolia,2012,0,0
1415E2,1.2.5 Bonus after signing Product Sharing Agreement,Not available,Golden East Mongolia,2012,0,0
1415E2,1.2.7 Bonus for training,Not available,Golden East Mongolia,2012,0,0
1415E31,1.5.1 Advance payments to Government,Ministry of Finance,Golden East Mongolia,2012,0,0
1415E31,1.5.3 Petroleum income according to Product sharing agreement,Ministry of Finance,Golden East Mongolia,2012,0,0
1415E31,2.2.5 Support activities from oil companies to local budget (according to agreement),Petroleum Authority,Golden East Mongolia,2012,0,0
1415E31,"1.2.3 Payment for deposit, exploration carried out by Government",Mineral Resources Authority,Golden East Mongolia,2012,29387e3,21769.276925470207
1415E31,1.2.8 Field deposit according to pledge area under the Production Sharing Agreement,Mineral Resources Authority,Golden East Mongolia,2012,0,0
1421E,1.2.9 Administration and service charges in accordance with Production Sharing Agreement,Petroleum Authority,Golden East Mongolia,2012,0,0
1421E,1.2.10 Fee for supporting field office in according to Production Sharing Agreement,Not available,Golden East Mongolia,2012,0,0
1421E,Service charges paid to local administration,Not available,Golden East Mongolia,2012,0,0
1421E,Service fees paid to state central administration and ministries,Not available,Golden East Mongolia,2012,23087400,17102.664582607988
1421E,Service fee for foreign experts and workers,Not available,Golden East Mongolia,2012,0,0
1422E,1.2.2License fee for exploitation and exploration of mineral resources,Mineral Resources Authority,Golden East Mongolia,2012,506819e3,375440.94878993725
1422E,1.3.1 Customs service fee,Customs Office,Golden East Mongolia,2012,49e3,36.29817842406643
1422E,"Stamp fee for licensing possess, utilization, sale, montage, place, rent, produce, decommission, demontage, store, transport, import, export of nuclear generator, dump treatment, deactivate and other related activities, and revenues.",Not available,Golden East Mongolia,2012,0,0
1422E,Stamp fee paid to local budget,Not available,Golden East Mongolia,2012,0,0
1422E,Stamp fees paid to state central administration and ministries,Not available,Golden East Mongolia,2012,0,0
1422E,1.2.4 Payment for recruiting foreign experts and workers (State Budget),Ministry of Labour,Golden East Mongolia,2012,1404e3,1040.05392872223
1422E,2.2.4 Payment for recruiting foreign experts and workers (Local Budget),Local Department of Taxation,Golden East Mongolia,2012,0,0
143E,1.6.1 Penalty (to state),"General Tax Office, Specialised Inspection Organistaion & State Social Insurance office",Golden East Mongolia,2012,457e7,3385360.7224078286
143E,1.6.2 Compensation (to State Budget),"General Tax Office, Specialised Inspection Organistaion & State Social Insurance office",Golden East Mongolia,2012,0,0
143E,2.5.1 Penalty (to Local budget),Local Department of Taxation,Golden East Mongolia,2012,0,0
143E,2.5.2 Compensation (to Local Budget),Local Department of Taxation,Golden East Mongolia,2012,0,0
144E1,3. Donationa and assistance paid to state entities,Ministries and Agencies,Golden East Mongolia,2012,0,0
1112E1,1.1.1 Corporate income tax,General Department of Taxation,Altan Rio Mongolia,2012,161e3,119.26544339336114
1112E2,1.6.3 Windfall tax,"Mineral Resources Authority, Petroleum Authority",Altan Rio Mongolia,2012,0,0
113E,2.1.1 Real estate tax,Local Department of Taxation,Altan Rio Mongolia,2012,0,0
113E,2.2.1 Land fee,Local Department of Taxation,Altan Rio Mongolia,2012,0,0
1141E,1.1.3 VAT - Value Added Tax,General Department of Taxation,Altan Rio Mongolia,2012,537e3,397.79840436170764
1141E,1.1.5 Tax on vehicle's gasoline and diesel fuel,Customs Office,Altan Rio Mongolia,2012,0,0
1142E,1.1.4 Excise tax on vehicle's gasoline and diesel fuel,Customs Office,Altan Rio Mongolia,2012,0,0
114521E,2.2.2 Fee for water use,Local Department of Taxation,Altan Rio Mongolia,2012,0,0
114521E,2.2.3 Fee for use of wide spread mineral resources,Local Department of Taxation,Altan Rio Mongolia,2012,0,0
114521E,Fee for forestry use and fire wood,Not available,Altan Rio Mongolia,2012,0,0
114522E,1.2.11 Fee for air pollution (for only coal extracting companies),General Department of Taxation,Altan Rio Mongolia,2012,0,0
114522E,2.5.3 Contribution (deposit) at rate of 50% to Environmental protection special account,"Ministry of Environment, Green development and Tourism",Altan Rio Mongolia,2012,33e5,2444.5711999881473
11451E,2.1.2 Tax on vehicles and self-moving mechanisms,Local Department of Taxation,Altan Rio Mongolia,2012,436e3,322.9797100590401
1151E,1.1.2 Customs tax,Customs Office,Altan Rio Mongolia,2012,256e3,189.6394627869593
116E,1.6.4 Other (State Budget),Other,Altan Rio Mongolia,2012,0,0
116E,2.5.4 Other (Local Budget),Other,Altan Rio Mongolia,2012,0,0
1212E,1.2.12 Social and health insurance charges paid from entity,General Department of Social Insurance,Altan Rio Mongolia,2012,75791e3,56144.39267221263
1412E2,1.4.1 Dividends on State Property,Ministry of Finance,Altan Rio Mongolia,2012,0,0
1412E2,2.4.1 Dividends on Local Property,Ministry of Finance,Altan Rio Mongolia,2012,0,0
1415E1,1.2.1 Fee and extra charges for exploitation of mineral resources,General Department of Taxation,Altan Rio Mongolia,2012,0,0
1415E1,"1.5.4 Royalty 
(otherwise part of 1.5.3 Petroleum income according to Product sharing agreement)",Ministry of Finance,Altan Rio Mongolia,2012,0,0
1415E2,1.2.5 Bonus after signing Product Sharing Agreement,Not available,Altan Rio Mongolia,2012,0,0
1415E2,1.2.7 Bonus for training,Not available,Altan Rio Mongolia,2012,0,0
1415E31,1.5.1 Advance payments to Government,Ministry of Finance,Altan Rio Mongolia,2012,0,0
1415E31,1.5.3 Petroleum income according to Product sharing agreement,Ministry of Finance,Altan Rio Mongolia,2012,0,0
1415E31,2.2.5 Support activities from oil companies to local budget (according to agreement),Petroleum Authority,Altan Rio Mongolia,2012,0,0
1415E31,"1.2.3 Payment for deposit, exploration carried out by Government",Mineral Resources Authority,Altan Rio Mongolia,2012,0,0
1415E31,1.2.8 Field deposit according to pledge area under the Production Sharing Agreement,Mineral Resources Authority,Altan Rio Mongolia,2012,0,0
1421E,1.2.9 Administration and service charges in accordance with Production Sharing Agreement,Petroleum Authority,Altan Rio Mongolia,2012,0,0
1421E,1.2.10 Fee for supporting field office in according to Production Sharing Agreement,Not available,Altan Rio Mongolia,2012,0,0
1421E,Service charges paid to local administration,Not available,Altan Rio Mongolia,2012,0,0
